plant#	rootMass(mg)	
1	0.0	
1	0.0	
1	0.07285827694774977	
1	0.21993864847666741	
1	0.442587529936556	
1	0.7421310407022851	
1	1.1198720597829865	
1	1.5428279747974452	
1	1.7375540698521434	
1	1.993696579661727	
1	2.3393377614958313	
1	2.8887963516992294	
1	3.6568660832032323	
1	4.615878835032461	
1	5.662307596721363	
1	6.797106617613816	
1	8.021175317397969	
1	9.335354987948776	
1	10.740425485435754	
1	12.237101917026123	
1	13.826031326633828	
1	15.507789384279475	
1	17.282877083734718	
1	19.151717453226798	
1	21.114652284074303	
1	23.17193888221369	
1	25.323746847657226	
1	27.570154886996466	
1	29.91114766413118	
1	32.34661269446108	
1	34.87633728782691	
1	37.500005545527934	
1	40.21719541677476	
1	43.027375819958785	
1	45.92990383413326	
1	48.92402196610471	
1	52.0088554985281	
1	55.18340992438358	
1	58.44656847318764	
1	61.79708973425621	
1	65.23360538229235	
1	68.75461801051543	
1	72.35849907648358	
1	76.04348696568546	
1	79.80768517789132	
1	83.64906064115735	
1	87.56544215827122	
1	91.55451899030994	
1	95.61383958185492	
1	99.74081043227304	
1	103.93269511732561	
1	108.18661346521195	
1	112.49954089098796	
1	116.86830789312613	
1	121.28959971579862	
1	125.75995618027251	
1	130.27577168860455	
1	134.83329540261215	
1	139.42863160088	
1	144.05774021633428	
1	148.7164375566835	
1	153.40039720978402	
1	158.10515113573956	
1	162.82609094729096	
1	167.55846937979092	
1	172.29740195179244	
1	177.03786881700893	
1	181.7747168081267	
1	186.50266167267029	
1	191.21629050083646	
1	195.9100643449241	
1	200.57832102969678	
1	205.21527815272054	
1	209.81503627342408	
1	214.37158228933123	
1	218.8787929976178	
1	223.33043883984632	
1	227.72018782743342	
1	232.04160964510754	
1	236.2881799293174	
1	240.45328471825712	
1	244.53022506988137	
1	248.51222184399379	
1	252.39242064420608	
1	256.16389691528155	
1	259.81966119110035	
1	263.35266448820863	
1	266.7558038396479	
1	270.0219279634979	
1	273.1438430603116	
1	276.1143187333735	
1	278.9260940254702	
1	281.5718835656311	
1	284.0443838190723	
