time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
1	11.247441493196293	1	1	1	1	4	0	11.247441493196293	1.0	0	0.0	NaN	NaN	15.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
1	11.247441493196293	2	1	1	2	4	0	11.247441493196293	1.0	0	0.0	NaN	NaN	15.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	1	1	1	1	4	0	11.367595075476835	1.0	0	0.0	NaN	NaN	15.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
2	11.367595075476835	2	1	1	2	4	0	11.367595075476835	1.0	0	0.0	NaN	NaN	15.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	
3	22.856168219862564	1	1	1	1	4	0	22.856168219862564	2.0	0	0.0	NaN	NaN	14.552750241652502	0.0	0.0	0.0	0.7285827694774977	0.0	0.0	0.0	
3	22.856168219862564	2	1	1	2	4	0	22.856168219862564	2.0	0	0.0	NaN	NaN	14.552750241652502	0.0	0.0	0.0	0.7285827694774977	0.0	0.0	0.0	
4	34.4665080713728	1	1	1	1	4	0	34.4665080713728	3.0	0	0.0	NaN	NaN	13.791431040067982	0.0	0.0	0.0	2.199386484766674	0.0	0.0	0.0	
4	34.4665080713728	2	1	1	2	4	0	34.4665080713728	3.0	0	0.0	NaN	NaN	13.791431040067982	0.0	0.0	0.0	2.199386484766674	0.0	0.0	0.0	
5	46.1993671861199	1	1	1	1	4	0	46.1993671861199	4.0	0	0.0	NaN	NaN	12.713098668736418	0.0	0.0	0.0	4.4258752993655595	0.0	0.0	0.0	
5	46.1993671861199	2	1	1	2	4	0	46.1993671861199	4.0	0	0.0	NaN	NaN	12.713098668736418	0.0	0.0	0.0	4.4258752993655595	0.0	0.0	0.0	
