plant#	rootMass(mg)	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.7285827694774977	
2	0.7285827694774977	
1	2.199386484766674	
2	2.199386484766674	
1	4.4258752993655595	
2	4.4258752993655595	
1	7.421310407022851	
2	7.421310407022851	
1	8.82514204744957	
2	8.82514204744957	
1	8.973174005386593	
2	8.892978591997515	
1	9.143668225033478	
2	9.023051974660286	
1	9.186626862129282	
2	9.296579481499846	
1	9.48517426433626	
2	9.622217379553254	
1	9.746780140353746	
2	10.05640623914262	
1	9.999106620125065	
2	10.727422685640747	
1	10.586865405164593	
2	11.313913225438126	
1	11.352053362586464	
2	12.125025443942492	
1	12.349392590882964	
2	13.113014470724252	
1	13.527587424666248	
2	14.49455462360319	
1	15.17215096775682	
2	16.227267086990146	
1	17.501465564519282	
2	19.080492707542113	
1	21.001564225043285	
2	23.107301550004017	
1	25.859170680112804	
2	29.520438770943425	
1	32.74115257669163	
2	37.328381022221414	
1	40.80734344155836	
2	48.36051965240848	
1	50.64988192493777	
2	61.389227629867925	
1	64.62217681398273	
2	78.61178681139353	
1	85.07129683099141	
2	99.18465279278742	
1	106.58937648542674	
2	120.70273244722274	
1	129.05345687881913	
2	143.16681284061514	
1	152.4633846501663	
2	166.5767406119623	
1	176.81803495346526	
2	190.93139091526126	
1	202.1152808871235	
2	216.2286368489195	
1	228.35196346413377	
2	242.46531942592978	
1	255.52386217660202	
2	269.637218138398	
1	283.6256662084423	
2	297.7390221702383	
1	312.65094635018704	
2	326.76430231198304	
1	342.5921276699015	
2	356.7054836316975	
1	373.44046299413543	
2	387.55381895593143	
1	405.1860072526903	
2	419.2993632144863	
1	437.81759274073084	
2	451.93094870252685	
1	471.32280535141655	
2	485.43616131321255	
1	505.68796183177795	
2	519.801317793574	
1	540.8980881140087	
2	555.0114440758047	
1	576.9368987736902	
2	591.0502547354862	
1	613.786777665709	
2	627.9001336275049	
1	651.4287597877676	
2	665.5421157495635	
1	689.8425144204278	
2	703.9558703822238	
1	729.0063295915667	
2	743.1196855533626	
1	768.8970979119539	
2	783.0104538737498	
1	809.4903038274036	
2	823.6036597891996	
1	850.7600123315848	
2	864.8733682933807	
1	892.6788591821105	
2	906.7922151439064	
1	935.2180426609739	
2	949.3313986227698	
1	978.3473169187339	
2	992.4606728805298	
1	1022.0349869401156	
2	1036.1483429019115	
1	1066.2479051668404	
2	1080.3612611286364	
1	1110.9514698115793	
2	1125.0648257733753	
1	1156.1096248948995	
2	1170.2229808566956	
1	1201.6848620349756	
2	1215.7982179967717	
1	1247.6382240176542	
2	1261.7515799794503	
1	1293.9293101721971	
2	1308.0426661339932	
