plant#	transpiration	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	0.0	
2	0.0	
1	9.735351661753605E-12	
2	7.608920004800464E-12	
1	2.461694472010406E-11	
2	2.8070421003668908E-11	
1	7.3294063219854E-11	
2	5.7980469299783685E-11	
1	9.289900921685233E-11	
2	9.14074173761787E-11	
1	1.281726677826142E-10	
2	1.2010184780361813E-10	
1	1.692543226310111E-10	
2	1.4789352853203646E-10	
1	2.662115595089998E-10	
2	2.8921880924944835E-10	
1	3.331250213105039E-10	
2	2.968074702549766E-10	
1	4.0210170273180627E-10	
2	4.3001866861555556E-10	
1	5.247217981242675E-10	
2	5.124064099256419E-10	
1	6.881937204066899E-10	
2	6.23072425013669E-10	
1	8.800745666763777E-10	
2	7.63940393971527E-10	
1	1.5688240513006723E-9	
2	1.1960307539379987E-9	
1	1.6465528183488836E-9	
2	1.42968484192563E-9	
1	2.1886510994410023E-9	
2	1.913869086472582E-9	
1	2.696220268397968E-9	
2	2.376210896773834E-9	
1	3.189972317722909E-9	
2	2.7579930944229275E-9	
1	4.430938463869054E-9	
2	4.090868953155633E-9	
1	5.455097468792846E-9	
2	5.6896294163343415E-9	
1	6.921213288686435E-9	
2	6.799215573853179E-9	
1	8.277258526600673E-9	
2	7.152765973774857E-9	
1	8.582930439447323E-9	
2	8.217054112743797E-9	
1	1.1017456883023475E-8	
2	1.0903554592875156E-8	
1	1.2112623273677908E-8	
2	1.2888912348866324E-8	
1	1.4567718577404876E-8	
2	1.3931871508604734E-8	
1	1.5169647801063248E-8	
2	1.703469483650965E-8	
1	1.6235978396074727E-8	
2	1.5730958268333745E-8	
1	1.932993685160897E-8	
2	1.9935508397987466E-8	
1	2.0771073628997734E-8	
2	2.060046142352252E-8	
1	2.3146557579429342E-8	
2	2.273511991949291E-8	
1	2.5282542923633126E-8	
2	2.3955106120433092E-8	
1	3.1254755304375224E-8	
2	2.6664141328593305E-8	
1	2.9740496316287916E-8	
2	3.116819922200563E-8	
1	3.5275733342678695E-8	
2	3.348038579219448E-8	
1	3.4430798079265536E-8	
2	3.3871464812439687E-8	
1	3.616307002286166E-8	
2	3.713999455193417E-8	
1	4.4399006434707176E-8	
2	3.97459629510105E-8	
1	4.5299388517539485E-8	
2	4.315979365809482E-8	
1	4.547538040722002E-8	
2	4.5457565539727924E-8	
1	5.017826577221314E-8	
2	5.0720410927687906E-8	
1	5.024574852019114E-8	
2	5.2592074569733706E-8	
1	5.8083244375637264E-8	
2	5.8043172093457805E-8	
1	5.9330098693126466E-8	
2	5.83389426283351E-8	
1	6.578548816273586E-8	
2	6.182208887077084E-8	
1	6.062042653317088E-8	
2	6.475157033735542E-8	
1	6.626195784073821E-8	
2	7.282511396633675E-8	
1	7.213959637748583E-8	
2	7.642453518439427E-8	
1	6.948121667823133E-8	
2	7.709277331153824E-8	
1	7.210403477185987E-8	
2	7.526168340910194E-8	
1	8.245990960843553E-8	
2	8.193624223932141E-8	
1	8.767720087383292E-8	
2	8.721099812855671E-8	
1	8.706402195415122E-8	
2	8.850408808720878E-8	
1	9.242293754567266E-8	
2	8.835119241853707E-8	
1	9.953046261030296E-8	
2	9.473324716130868E-8	
1	1.0571603350892044E-7	
2	9.975985717213583E-8	
1	1.1167428454708648E-7	
2	1.0174460126081871E-7	
