ivol x_MIN3P z_MIN3P RSD
 176 1.061224 0.122449 0.000000
 177 1.102041 0.122449 0.000000
 178 1.142857 0.122449 0.000000
 179 1.183674 0.122449 0.000000
 180 1.224490 0.122449 0.000000
 181 1.265306 0.122449 0.000000
 182 1.306122 0.122449 0.000000
 183 1.346939 0.122449 0.000000
 184 1.387755 0.122449 0.000000
 185 1.428571 0.122449 0.000000
 186 1.469388 0.122449 0.000000
 187 1.510204 0.122449 0.000000
 188 1.551020 0.122449 0.000000
 189 1.591837 0.122449 0.000000
 190 1.632653 0.122449 0.000000
 191 1.673469 0.122449 0.000000
 192 1.714286 0.122449 0.000000
 193 1.755102 0.122449 0.000000
 194 1.795918 0.122449 0.000000
 195 1.836735 0.122449 0.000000
 196 1.877551 0.122449 0.000000
 197 1.918367 0.122449 0.000000
 198 1.959184 0.122449 0.000000
 199 2.000000 0.122449 0.000000
 200 0.000000 0.163265 0.000000
 201 0.040816 0.163265 0.000000
 202 0.081633 0.163265 0.000000
 203 0.122449 0.163265 0.000000
 204 0.163265 0.163265 0.000000
 205 0.204082 0.163265 0.000000
 206 0.244898 0.163265 0.000000
 207 0.285714 0.163265 0.000000
 208 0.326531 0.163265 0.000000
 209 0.367347 0.163265 0.000000
 210 0.408163 0.163265 0.000000
 211 0.448980 0.163265 0.000000
 212 0.489796 0.163265 0.000000
 213 0.530612 0.163265 0.000000
 214 0.571429 0.163265 0.000000
 215 0.612245 0.163265 0.000000
 216 0.653061 0.163265 0.000000
 217 0.693878 0.163265 0.000000
 218 0.734694 0.163265 0.000000
 219 0.775510 0.163265 0.000000
 220 0.816327 0.163265 0.000000
 221 0.857143 0.163265 0.000000
 222 0.897959 0.163265 0.000000
 223 0.938776 0.163265 0.000000
 224 0.979592 0.163265 0.000000
 225 1.020408 0.163265 0.000000
 226 1.061224 0.163265 0.000000
 227 1.102041 0.163265 0.000000
 228 1.142857 0.163265 0.000000
 229 1.183674 0.163265 0.000000
 230 1.224490 0.163265 0.000000
 231 1.265306 0.163265 0.000000
 232 1.306122 0.163265 0.000000
 233 1.346939 0.163265 0.000000
 234 1.387755 0.163265 0.000000
 235 1.428571 0.163265 0.000000
 236 1.469388 0.163265 0.000000
 237 1.510204 0.163265 0.000000
 238 1.551020 0.163265 0.000000
 239 1.591837 0.163265 0.000000
 240 1.632653 0.163265 0.000000
 241 1.673469 0.163265 0.000000
 242 1.714286 0.163265 0.000000
 243 1.755102 0.163265 0.000000
 244 1.795918 0.163265 0.000000
 245 1.836735 0.163265 0.000000
 246 1.877551 0.163265 0.000000
 247 1.918367 0.163265 0.000000
 248 1.959184 0.163265 0.000000
 249 2.000000 0.163265 0.000000
 250 0.000000 0.204082 0.000000
 251 0.040816 0.204082 0.000000
 252 0.081633 0.204082 0.000000
 253 0.122449 0.204082 0.000000
 254 0.163265 0.204082 0.000000
 255 0.204082 0.204082 0.000000
 256 0.244898 0.204082 0.000000
 257 0.285714 0.204082 0.000000
 258 0.326531 0.204082 0.000000
 259 0.367347 0.204082 0.000000
 260 0.408163 0.204082 0.000000
 261 0.448980 0.204082 0.000000
 262 0.489796 0.204082 0.000000
 263 0.530612 0.204082 0.000000
 264 0.571429 0.204082 0.000000
 265 0.612245 0.204082 0.000000
 266 0.653061 0.204082 0.000000
 267 0.693878 0.204082 0.000000
 268 0.734694 0.204082 0.000000
 269 0.775510 0.204082 0.000000
 270 0.816327 0.204082 0.000000
 271 0.857143 0.204082 0.000000
 272 0.897959 0.204082 0.000000
 273 0.938776 0.204082 0.000000
 274 0.979592 0.204082 0.000000
 275 1.020408 0.204082 0.000000
 276 1.061224 0.204082 0.000000
 277 1.102041 0.204082 0.000000
 278 1.142857 0.204082 0.000000
 279 1.183674 0.204082 0.000000
 280 1.224490 0.204082 0.000000
 281 1.265306 0.204082 0.000000
 282 1.306122 0.204082 0.000000
 283 1.346939 0.204082 0.000000
 284 1.387755 0.204082 0.000000
 285 1.428571 0.204082 0.000000
 286 1.469388 0.204082 0.000000
 287 1.510204 0.204082 0.000000
 288 1.551020 0.204082 0.000000
 289 1.591837 0.204082 0.000000
 290 1.632653 0.204082 0.000000
 291 1.673469 0.204082 0.000000
 292 1.714286 0.204082 0.000000
 293 1.755102 0.204082 0.000000
 294 1.795918 0.204082 0.000000
 295 1.836735 0.204082 0.000000
 296 1.877551 0.204082 0.000000
 297 1.918367 0.204082 0.000000
 298 1.959184 0.204082 0.000000
 299 2.000000 0.204082 0.000000
 300 0.000000 0.244898 0.000000
 301 0.040816 0.244898 0.000000
 302 0.081633 0.244898 0.000000
 303 0.122449 0.244898 0.000000
 304 0.163265 0.244898 0.000000
 305 0.204082 0.244898 0.000000
 306 0.244898 0.244898 0.000000
 307 0.285714 0.244898 0.000000
 308 0.326531 0.244898 0.000000
 309 0.367347 0.244898 0.000000
 310 0.408163 0.244898 0.000000
 311 0.448980 0.244898 0.000000
 312 0.489796 0.244898 0.000000
 313 0.530612 0.244898 0.000000
 314 0.571429 0.244898 0.000000
 315 0.612245 0.244898 0.000000
 316 0.653061 0.244898 0.000000
 317 0.693878 0.244898 0.063814
 318 0.734694 0.244898 0.000000
 319 0.775510 0.244898 0.000000
 320 0.816327 0.244898 0.000000
 321 0.857143 0.244898 0.000000
 322 0.897959 0.244898 0.102102
 323 0.938776 0.244898 0.000000
 324 0.979592 0.244898 0.000000
 325 1.020408 0.244898 0.000000
 326 1.061224 0.244898 0.000000
 327 1.102041 0.244898 0.000000
 328 1.142857 0.244898 0.000000
 329 1.183674 0.244898 0.000000
 330 1.224490 0.244898 0.000000
 331 1.265306 0.244898 0.000000
 332 1.306122 0.244898 0.000000
 333 1.346939 0.244898 0.000000
 334 1.387755 0.244898 0.000000
 335 1.428571 0.244898 0.000000
 336 1.469388 0.244898 0.000000
 337 1.510204 0.244898 0.000000
 338 1.551020 0.244898 0.000000
 339 1.591837 0.244898 0.000000
 340 1.632653 0.244898 0.000000
 341 1.673469 0.244898 0.000000
 342 1.714286 0.244898 0.000000
 343 1.755102 0.244898 0.000000
 344 1.795918 0.244898 0.000000
 345 1.836735 0.244898 0.000000
 346 1.877551 0.244898 0.000000
 347 1.918367 0.244898 0.000000
 348 1.959184 0.244898 0.000000
 349 2.000000 0.244898 0.000000
 350 0.000000 0.285714 0.000000
 351 0.040816 0.285714 0.000000
 352 0.081633 0.285714 0.000000
 353 0.122449 0.285714 0.000000
 354 0.163265 0.285714 0.000000
 355 0.204082 0.285714 0.000000
 356 0.244898 0.285714 0.000000
 357 0.285714 0.285714 0.000000
 358 0.326531 0.285714 0.000000
 359 0.367347 0.285714 0.000000
 360 0.408163 0.285714 0.000000
 361 0.448980 0.285714 0.000000
 362 0.489796 0.285714 0.000000
 363 0.530612 0.285714 0.000000
 364 0.571429 0.285714 0.000000
 365 0.612245 0.285714 0.000000
 366 0.653061 0.285714 0.000000
 367 0.693878 0.285714 0.114864
 368 0.734694 0.285714 0.000000
 369 0.775510 0.285714 0.000000
 370 0.816327 0.285714 0.000000
 371 0.857143 0.285714 0.000000
 372 0.897959 0.285714 0.114864
 373 0.938776 0.285714 0.000000
 374 0.979592 0.285714 0.000000
